city,address,postalCode,latitude,longitude,features,hasArtwork,storeName,storeNumber,closeTime,openTime
嘉兴市,浙江省嘉兴市None南湖区中基路97号45幢,314000,30.770455,120.749865,"['OG', 'DL', 'PO']",False,嘉兴月河店,49889-271705,22:00:00,08:00:00
嘉兴市,浙江省嘉兴市None南湖区九曲里4号楼地上一、二层4-商06单元及4-商12单元,314000,30.740218,120.795285,"['OG', 'DL', 'PO', 'SBB']",False,嘉兴九曲里店,54822-288550,22:00:00,07:30:00
嘉兴市,南湖区嘉兴万达广场广益路1108号,314000,30.736921,120.799809,"['OG', 'DL']",False,嘉兴万达广场店,26015-243064,22:30:00,07:30:00
嘉兴市,浙江省嘉兴市B区第一层B101单元中环东路1468号,314000,30.755725,120.781401,"['OG', 'DL']",False,嘉兴合乐城店,55556-289436,22:00:00,08:00:00
嘉兴市,浙江省嘉兴市None南湖区广益路1108号,314000,30.735966,120.804172,"['OG', 'DL']",False,嘉兴万达一号门店,56231-290171,22:00:00,10:00:00
嘉兴市,浙江省嘉兴市海盐县一层1067号商铺新桥北路231号,314000,30.535457,120.951002,"['OG', 'DL', 'PO']",False,嘉兴海盐嘉凯城店,28874-251692,22:00:00,07:30:00
嘉兴市,海盐武原街道枣园东路20号2幢一层101None室,314000,30.525328,120.960168,"['OG', 'DL', 'MIC']",False,海盐滨海商业广场店,59026-292696,22:00:00,08:00:00
苏州市,吴江区财富中心盛泽镇西二环路1999号,215000,30.902808,120.624832,"['OG', 'DL']",False,苏州吴江盛泽购物公园店,24058-234924,22:00:00,07:00:00
湖州市,长兴县None解放西路2号,313000,31.004418,119.906261,"['OG', 'DL']",False,湖州长兴八佰伴店,22976-226345,22:30:00,08:00:00
湖州市,浙江省湖州市None长兴县县前街268号20幢1楼5-1单元,313000,31.006342,119.909634,"['OG', 'DL']",False,湖州长兴东鱼坊店,54474-286718,22:00:00,08:00:00
湖州市,浙江省湖州市None长兴县太湖街道利时广场14-101-52单元,313000,31.020512,119.917331,"['OG', 'DL', 'PO']",False,湖州长兴利时广场店,56551-290170,22:00:00,08:00:00
湖州市,长兴县海洋城2幢119号,313000,31.035752,119.9024,"['OG', 'DL']",False,湖州长兴海洋城店,25795-242326,22:00:00,08:00:00
金华市,浙江省金华市None浦江县和平北路71、73和75号商铺,321000,29.459012,119.889205,"['OG', 'DL', 'PO']",False,金华浦江人民广场店,56687-290614,22:30:00,07:30:00
